batsman,batsman_hand,batsman_style,batsman_form,bowler,bowler_type,bowler_form,venue,weather,inning,overs,wickets,runs_needed,balls_remaining,current_run_rate,required_run_rate,ball_age,ball_type,bowling_speed_kph,bowling_path_type,pitch_line,pitch_length,batsman_reaction,shot_contact,runs_scored,is_wicket,win_probability_after
Rohit Sharma,Right,Aggressive,0.82,Mitchell Starc,LeftArmFast,0.82,Rajiv Gandhi International Stadium (Hyderabad),Overcast,2,4.4,2,146,92,7.5,9.52,4.4,White Kookaburra,146.2,Yorker,On the Off Stump,Yorker,Defensive,Weak,1,0,0.8863356746508437
MS Dhoni,Right,Finisher,0.86,Jasprit Bumrah,Fast,0.96,Eden Gardens (Kolkata),Sunny,1,9.2,4,0,64,10.11,0.0,9.2,Pink Ball,143.2,In-swinger,On the Off Stump,Good Length,Drive,Missed,0,1,0.28153201000154787
Rohit Sharma,Right,Aggressive,0.82,Mitchell Starc,LeftArmFast,0.82,Narendra Modi Stadium (Ahmedabad),Sunny,2,18.1,9,1,11,8.62,0.55,18.1,Pink Ball,144.9,Bouncer,Middle Stump,Short,Pull/Hook,Edge,0,1,0.0
MS Dhoni,Right,Finisher,0.86,Ravindra Jadeja,Ortho,0.86,Narendra Modi Stadium (Ahmedabad),Humid,2,4.6,3,147,90,7.39,9.8,4.6,Pink Ball,95.1,Normal,Leg Stump,Full,Slog,Edge,0,0,0.8222199277637544
Shubman Gill,Right,Anchor,0.85,Mitchell Starc,LeftArmFast,0.82,Arun Jaitley Stadium (Delhi),Overcast,1,6.2,3,0,82,7.42,0.0,6.2,White Kookaburra,141.3,Bouncer,Outside Off,Short,Pull/Hook,Weak,0,0,0.19248915565315283
Rishabh Pant,Left,Aggressive,0.78,Ravindra Jadeja,Ortho,0.86,Wankhede Stadium (Mumbai),Sunny,1,10.3,6,0,57,7.86,0.0,10.3,White Kookaburra,69.2,Cutter,Middle Stump,Short,Lofted Shot,Weak,0,0,0.15
Rishabh Pant,Left,Aggressive,0.78,Yuzvendra Chahal,LegSpin,0.78,Wankhede Stadium (Mumbai),Overcast,1,13.3,8,0,39,10.38,0.0,13.3,White Kookaburra,85.5,Googly,Outside Off,Good Length,Lofted Shot,Weak,0,0,0.1575263022122631
MS Dhoni,Right,Finisher,0.86,Yuzvendra Chahal,LegSpin,0.78,M. A. Chidambaram Stadium (Chennai),Humid,2,0.6,0,171,114,10.0,9.0,0.6,White Kookaburra,86.1,Googly,Outside Off,Full,Defensive,Weak,0,0,0.9535636621606977
MS Dhoni,Right,Finisher,0.86,Mitchell Starc,LeftArmFast,0.82,Eden Gardens (Kolkata),Night (Dew),2,4.4,2,154,92,11.59,10.04,4.4,White Kookaburra,141.0,Yorker,Middle Stump,Yorker,Ramp/Scoop,Weak,0,0,0.8683163722538643
Shubman Gill,Right,Anchor,0.85,Ravindra Jadeja,Ortho,0.86,Narendra Modi Stadium (Ahmedabad),Sunny,2,12.4,6,47,44,10.0,6.41,12.4,SG Test,87.2,Normal,On the Off Stump,Full Toss,Drive,Weak,1,0,0.8254169902255195
Shubman Gill,Right,Anchor,0.85,Mitchell Starc,LeftArmFast,0.82,M. Chinnaswamy Stadium (Bengaluru),Overcast,1,11.3,6,0,51,9.56,0.0,11.3,White Kookaburra,147.8,Out-swinger,Outside Off,Good Length,Defensive,Weak,0,0,0.15
Shubman Gill,Right,Anchor,0.85,Rashid Khan,LegSpin,0.9,M. A. Chidambaram Stadium (Chennai),Overcast,2,0.5,0,155,115,6.0,8.09,0.5,White Kookaburra,77.3,Cutter,Leg Stump,Short,Pull/Hook,Edge,0,1,0.9500141465933039
Suryakumar Yadav,Right,Aggressive,0.94,Mitchell Starc,LeftArmFast,0.82,Eden Gardens (Kolkata),Overcast,2,13.3,6,94,39,7.22,14.46,13.3,Pink Ball,141.0,Bouncer,Outside Off,Short,Ramp/Scoop,Weak,0,0,0.1986526236051179
Suryakumar Yadav,Right,Aggressive,0.94,Ravindra Jadeja,Ortho,0.86,M. Chinnaswamy Stadium (Bengaluru),Overcast,1,6.2,5,0,82,10.0,0.0,6.2,SG Test,89.2,Normal,On the Off Stump,Good Length,Ramp/Scoop,Weak,1,0,0.2072361094450569
Rishabh Pant,Left,Aggressive,0.78,Ravindra Jadeja,Ortho,0.86,M. A. Chidambaram Stadium (Chennai),Night (Dew),1,12.3,6,0,45,7.48,0.0,12.3,Pink Ball,71.7,Cutter,Outside Off,Full Toss,Lofted Shot,Missed,0,0,0.15
Rishabh Pant,Left,Aggressive,0.78,Jasprit Bumrah,Fast,0.96,M. A. Chidambaram Stadium (Chennai),Humid,1,1.4,0,0,110,7.86,0.0,1.4,White Kookaburra,150.4,In-swinger,Outside Off,Full,Defensive,Solid,4,0,0.5107483439103769
Virat Kohli,Right,Anchor,0.92,Jasprit Bumrah,Fast,0.96,Arun Jaitley Stadium (Delhi),Night (Dew),1,3.6,2,0,96,9.17,0.0,3.6,SG Test,118.0,Cutter,On the Off Stump,Good Length,Defensive,Weak,1,0,0.4458692307598203
Suryakumar Yadav,Right,Aggressive,0.94,Rashid Khan,LegSpin,0.9,HPCA Stadium (Dharamshala),Sunny,1,17.1,9,0,17,9.12,0.0,17.1,Pink Ball,98.7,Googly,Outside Off,Good Length,Defensive,Weak,0,0,0.15
Suryakumar Yadav,Right,Aggressive,0.94,Rashid Khan,LegSpin,0.9,Rajiv Gandhi International Stadium (Hyderabad),Night (Dew),2,16.5,8,14,19,11.09,4.42,16.5,Pink Ball,96.5,Leg-break,Outside Off,Good Length,Lofted Shot,Solid,1,0,0.8198502619876372
Shubman Gill,Right,Anchor,0.85,Mitchell Starc,LeftArmFast,0.82,Narendra Modi Stadium (Ahmedabad),Night (Dew),1,5.1,2,0,89,7.84,0.0,5.1,Pink Ball,140.0,Out-swinger,Outside Off,Full,Defensive,Weak,0,0,0.2621158988083651
Shubman Gill,Right,Anchor,0.85,Rashid Khan,LegSpin,0.9,Eden Gardens (Kolkata),Humid,1,7.2,4,0,76,7.64,0.0,7.2,White Kookaburra,96.1,Leg-break,Outside Leg,Full,Defensive,Weak,1,0,0.15
Shubman Gill,Right,Anchor,0.85,Jasprit Bumrah,Fast,0.96,Arun Jaitley Stadium (Delhi),Sunny,2,7.5,3,122,73,9.47,10.03,7.5,White Kookaburra,147.6,Yorker,On the Off Stump,Yorker,Glance,Edge,1,0,0.8131840155502461
Suryakumar Yadav,Right,Aggressive,0.94,Yuzvendra Chahal,LegSpin,0.78,Arun Jaitley Stadium (Delhi),Night (Dew),1,9.3,4,0,63,6.99,0.0,9.3,Pink Ball,81.4,Leg-break,Outside Off,Good Length,Defensive,Solid,2,0,0.15
Virat Kohli,Right,Anchor,0.92,Yuzvendra Chahal,LegSpin,0.78,Arun Jaitley Stadium (Delhi),Humid,1,19.5,9,0,1,8.77,0.0,19.5,SG Test,84.6,Normal,On the Off Stump,Full,Defensive,Weak,0,0,0.15
MS Dhoni,Right,Finisher,0.86,Rashid Khan,LegSpin,0.9,Arun Jaitley Stadium (Delhi),Humid,1,1.4,1,0,110,7.86,0.0,1.4,SG Test,95.4,Googly,Outside Off,Good Length,Drive,Weak,1,0,0.3584725236465682
Rishabh Pant,Left,Aggressive,0.78,Jasprit Bumrah,Fast,0.96,Narendra Modi Stadium (Ahmedabad),Night (Dew),1,9.6,4,0,60,10.21,0.0,9.6,SG Test,145.2,Yorker,Middle Stump,Yorker,Defensive,Weak,0,0,0.3905799693718015
Rohit Sharma,Right,Aggressive,0.82,Rashid Khan,LegSpin,0.9,Wankhede Stadium (Mumbai),Sunny,1,16.5,9,0,19,7.82,0.0,16.5,White Kookaburra,98.7,Leg-break,On the Off Stump,Good Length,Defensive,Weak,1,0,0.15
Rishabh Pant,Left,Aggressive,0.78,Ravindra Jadeja,Ortho,0.86,M. A. Chidambaram Stadium (Chennai),Night (Dew),2,15.2,7,36,28,9.61,7.71,15.2,Pink Ball,93.8,Normal,Outside Off,Full,Lofted Shot,Missed,0,0,0.650218548573827
Shubman Gill,Right,Anchor,0.85,Yuzvendra Chahal,LegSpin,0.78,Narendra Modi Stadium (Ahmedabad),Sunny,1,18.5,9,0,7,8.43,0.0,18.5,Pink Ball,85.2,Leg-break,On the Off Stump,Full,Drive,Edge,4,0,0.15
Virat Kohli,Right,Anchor,0.92,Ravindra Jadeja,Ortho,0.86,M. A. Chidambaram Stadium (Chennai),Sunny,2,16.5,9,76,19,6.61,24.0,16.5,Pink Ball,91.3,Off-break,Outside Off,Good Length,Drive,Edge,0,0,0.0018949488872462485
Suryakumar Yadav,Right,Aggressive,0.94,Mitchell Starc,LeftArmFast,0.82,Eden Gardens (Kolkata),Overcast,2,16.1,9,16,23,11.12,4.17,16.1,White Kookaburra,141.5,In-swinger,Middle Stump,Good Length,Sweep,Weak,1,0,0.7628162135931785
Rishabh Pant,Left,Aggressive,0.78,Mitchell Starc,LeftArmFast,0.82,M. Chinnaswamy Stadium (Bengaluru),Overcast,2,9.6,4,88,60,10.62,8.8,9.6,Pink Ball,147.1,Yorker,Middle Stump,Yorker,Slog,Solid,4,0,0.8334349167638263
MS Dhoni,Right,Finisher,0.86,Rashid Khan,LegSpin,0.9,M. A. Chidambaram Stadium (Chennai),Night (Dew),2,6.4,5,124,80,6.56,9.3,6.4,Pink Ball,100.0,Googly,Middle Stump,Good Length,Drive,Edge,4,0,0.7369404357124273
Suryakumar Yadav,Right,Aggressive,0.94,Yuzvendra Chahal,LegSpin,0.78,Narendra Modi Stadium (Ahmedabad),Sunny,1,1.6,0,0,108,8.75,0.0,1.6,Pink Ball,80.4,Googly,Leg Stump,Good Length,Drive,Solid,1,0,0.5117166047041654
Shubman Gill,Right,Anchor,0.85,Rashid Khan,LegSpin,0.9,HPCA Stadium (Dharamshala),Night (Dew),1,5.4,3,0,86,7.59,0.0,5.4,White Kookaburra,97.8,Leg-break,Leg Stump,Good Length,Defensive,Solid,1,0,0.23290142820521526
MS Dhoni,Right,Finisher,0.86,Mitchell Starc,LeftArmFast,0.82,Rajiv Gandhi International Stadium (Hyderabad),Night (Dew),2,6.4,5,123,80,6.72,9.22,6.4,Pink Ball,144.7,Out-swinger,Leg Stump,Good Length,Defensive,Weak,2,0,0.734103775668428
Rishabh Pant,Left,Aggressive,0.78,Ravindra Jadeja,Ortho,0.86,M. Chinnaswamy Stadium (Bengaluru),Humid,2,5.5,2,127,85,11.09,8.96,5.5,White Kookaburra,76.4,Cutter,Outside Off,Good Length,Defensive,Weak,1,0,0.9046505351008906
Rishabh Pant,Left,Aggressive,0.78,Mitchell Starc,LeftArmFast,0.82,Narendra Modi Stadium (Ahmedabad),Sunny,1,5.1,3,0,89,9.22,0.0,5.1,Pink Ball,137.5,In-swinger,Outside Off,Good Length,Lofted Shot,Weak,0,0,0.3446816298261049
MS Dhoni,Right,Finisher,0.86,Rashid Khan,LegSpin,0.9,HPCA Stadium (Dharamshala),Sunny,2,9.4,4,88,62,5.85,8.52,9.4,White Kookaburra,100.6,Googly,Middle Stump,Good Length,Slog,Edge,0,0,0.8278537074100216
Virat Kohli,Right,Anchor,0.92,Rashid Khan,LegSpin,0.9,Eden Gardens (Kolkata),Night (Dew),1,11.6,6,0,48,7.93,0.0,11.6,SG Test,97.6,Googly,Middle Stump,Full,Glance,Weak,0,1,0.15
Rohit Sharma,Right,Aggressive,0.82,Ravindra Jadeja,Ortho,0.86,M. A. Chidambaram Stadium (Chennai),Sunny,2,11.5,5,75,49,7.3,9.18,11.5,Pink Ball,90.4,Normal,Leg Stump,Full,Drive,Edge,1,0,0.7236220674654401
Virat Kohli,Right,Anchor,0.92,Rashid Khan,LegSpin,0.9,Arun Jaitley Stadium (Delhi),Overcast,1,11.6,5,0,48,8.79,0.0,11.6,Pink Ball,94.6,Leg-break,On the Off Stump,Full,Lofted Shot,Edge,0,0,0.2088080825347575
Suryakumar Yadav,Right,Aggressive,0.94,Ravindra Jadeja,Ortho,0.86,M. A. Chidambaram Stadium (Chennai),Humid,1,3.4,1,0,98,7.65,0.0,3.4,Pink Ball,86.3,Normal,Outside Off,Good Length,Drive,Edge,1,0,0.39233683016710835
Rishabh Pant,Left,Aggressive,0.78,Rashid Khan,LegSpin,0.9,Narendra Modi Stadium (Ahmedabad),Night (Dew),1,18.6,9,0,6,8.49,0.0,18.6,White Kookaburra,76.0,Cutter,Outside Off,Good Length,Slog,Edge,0,1,0.15
Shubman Gill,Right,Anchor,0.85,Ravindra Jadeja,Ortho,0.86,M. Chinnaswamy Stadium (Bengaluru),Sunny,1,15.5,7,0,25,10.97,0.0,15.5,White Kookaburra,90.4,Off-break,Leg Stump,Good Length,Defensive,Missed,0,0,0.18379043103042292
Virat Kohli,Right,Anchor,0.92,Yuzvendra Chahal,LegSpin,0.78,Narendra Modi Stadium (Ahmedabad),Night (Dew),2,8.5,5,125,67,8.47,11.19,8.5,SG Test,80.5,Normal,Middle Stump,Full,Defensive,Weak,1,0,0.5750646561072037
Suryakumar Yadav,Right,Aggressive,0.94,Ravindra Jadeja,Ortho,0.86,Wankhede Stadium (Mumbai),Overcast,1,14.2,9,0,34,9.44,0.0,14.2,Pink Ball,95.2,Normal,Outside Leg,Good Length,Drive,Weak,0,0,0.15
MS Dhoni,Right,Finisher,0.86,Jasprit Bumrah,Fast,0.96,Arun Jaitley Stadium (Delhi),Night (Dew),2,6.3,3,113,81,6.67,8.37,6.3,White Kookaburra,149.3,Yorker,Middle Stump,Yorker,Defensive,Weak,0,1,0.8410083629084069
Suryakumar Yadav,Right,Aggressive,0.94,Ravindra Jadeja,Ortho,0.86,Wankhede Stadium (Mumbai),Night (Dew),2,5.1,4,115,89,7.84,7.75,5.1,White Kookaburra,72.3,Cutter,On the Off Stump,Full,Lofted Shot,Weak,1,0,0.8743021984083712
MS Dhoni,Right,Finisher,0.86,Ravindra Jadeja,Ortho,0.86,Rajiv Gandhi International Stadium (Hyderabad),Night (Dew),2,14.2,9,28,34,9.15,4.94,14.2,Pink Ball,68.4,Cutter,Middle Stump,Short,Slog,Edge,0,1,0.0
Rohit Sharma,Right,Aggressive,0.82,Jasprit Bumrah,Fast,0.96,M. A. Chidambaram Stadium (Chennai),Humid,1,10.1,7,0,59,7.82,0.0,10.1,SG Test,142.3,Yorker,On the Off Stump,Yorker,Defensive,Solid,6,0,0.15
Suryakumar Yadav,Right,Aggressive,0.94,Ravindra Jadeja,Ortho,0.86,Narendra Modi Stadium (Ahmedabad),Overcast,2,19.2,9,23,4,7.08,34.5,19.2,SG Test,95.2,Normal,Outside Leg,Good Length,Drive,Weak,1,0,0.0
MS Dhoni,Right,Finisher,0.86,Jasprit Bumrah,Fast,0.96,M. Chinnaswamy Stadium (Bengaluru),Sunny,2,6.5,3,124,79,9.85,9.42,6.5,SG Test,151.9,Yorker,On the Off Stump,Yorker,Drive,Weak,0,1,0.7792908316757505
Rishabh Pant,Left,Aggressive,0.78,Yuzvendra Chahal,LegSpin,0.78,M. Chinnaswamy Stadium (Bengaluru),Night (Dew),2,6.5,6,124,79,11.54,9.42,6.5,Pink Ball,86.7,Googly,Leg Stump,Full,Slog,Perfect,4,0,0.6459378363241925
Suryakumar Yadav,Right,Aggressive,0.94,Yuzvendra Chahal,LegSpin,0.78,M. A. Chidambaram Stadium (Chennai),Night (Dew),2,0.6,0,154,114,8.33,8.11,0.6,White Kookaburra,85.9,Leg-break,Middle Stump,Short,Defensive,Weak,1,0,0.9669663567250797
MS Dhoni,Right,Finisher,0.86,Jasprit Bumrah,Fast,0.96,M. Chinnaswamy Stadium (Bengaluru),Night (Dew),1,9.5,4,0,61,10.84,0.0,9.5,White Kookaburra,144.2,In-swinger,Middle Stump,Good Length,Slog,Edge,1,0,0.34762391993164304
Rohit Sharma,Right,Aggressive,0.82,Jasprit Bumrah,Fast,0.96,HPCA Stadium (Dharamshala),Sunny,1,8.6,5,0,66,8.14,0.0,8.6,Pink Ball,133.2,Cutter,Outside Off,Good Length,Drive,Edge,1,0,0.18097584609405937
Shubman Gill,Right,Anchor,0.85,Yuzvendra Chahal,LegSpin,0.78,Eden Gardens (Kolkata),Overcast,2,18.6,9,63,6,6.77,63.0,18.6,Pink Ball,78.7,Leg-break,Outside Off,Good Length,Drive,Solid,2,0,0.0
Shubman Gill,Right,Anchor,0.85,Jasprit Bumrah,Fast,0.96,Narendra Modi Stadium (Ahmedabad),Humid,1,8.1,4,0,71,8.52,0.0,8.1,Pink Ball,147.7,Bouncer,Outside Off,Short,Pull/Hook,Edge,0,1,0.16882186897578874
Rohit Sharma,Right,Aggressive,0.82,Rashid Khan,LegSpin,0.9,Wankhede Stadium (Mumbai),Overcast,2,7.4,3,125,74,8.51,10.14,7.4,White Kookaburra,98.8,Leg-break,Leg Stump,Short,Pull/Hook,Missed,0,0,0.8028352085149261
Suryakumar Yadav,Right,Aggressive,0.94,Ravindra Jadeja,Ortho,0.86,M. Chinnaswamy Stadium (Bengaluru),Sunny,2,12.2,6,90,46,7.3,11.74,12.2,Pink Ball,92.4,Normal,Outside Leg,Good Length,Sweep,Weak,0,0,0.401312339887548
Rishabh Pant,Left,Aggressive,0.78,Mitchell Starc,LeftArmFast,0.82,Wankhede Stadium (Mumbai),Night (Dew),1,1.3,0,0,111,9.23,0.0,1.3,SG Test,141.1,In-swinger,Outside Off,Good Length,Defensive,Weak,1,0,0.5425944277472359
Rishabh Pant,Left,Aggressive,0.78,Mitchell Starc,LeftArmFast,0.82,Narendra Modi Stadium (Ahmedabad),Humid,2,2.4,1,168,104,7.5,9.69,2.4,SG Test,144.4,Bouncer,Middle Stump,Short,Lofted Shot,Missed,0,0,0.9148820557117922
Suryakumar Yadav,Right,Aggressive,0.94,Mitchell Starc,LeftArmFast,0.82,Arun Jaitley Stadium (Delhi),Overcast,1,17.6,8,0,12,9.32,0.0,17.6,White Kookaburra,138.8,In-swinger,Outside Off,Good Length,Drive,Solid,1,0,0.15
Shubman Gill,Right,Anchor,0.85,Rashid Khan,LegSpin,0.9,M. A. Chidambaram Stadium (Chennai),Humid,2,13.6,6,86,36,6.54,14.33,13.6,Pink Ball,98.3,Leg-break,On the Off Stump,Good Length,Drive,Missed,0,1,0.14679033980138237
MS Dhoni,Right,Finisher,0.86,Mitchell Starc,LeftArmFast,0.82,HPCA Stadium (Dharamshala),Sunny,2,14.1,7,68,35,8.44,11.66,14.1,Pink Ball,141.0,Yorker,Middle Stump,Yorker,Defensive,Solid,0,0,0.31002551887238755
MS Dhoni,Right,Finisher,0.86,Mitchell Starc,LeftArmFast,0.82,Rajiv Gandhi International Stadium (Hyderabad),Overcast,2,17.4,8,30,14,7.3,12.86,17.4,White Kookaburra,136.9,In-swinger,Middle Stump,Short,Defensive,Perfect,6,0,0.2938157984814871
Virat Kohli,Right,Anchor,0.92,Yuzvendra Chahal,LegSpin,0.78,Arun Jaitley Stadium (Delhi),Overcast,2,0.5,0,164,115,8.0,8.56,0.5,White Kookaburra,84.7,Leg-break,Outside Off,Full,Drive,Weak,1,0,0.9607351260467556
Rishabh Pant,Left,Aggressive,0.78,Mitchell Starc,LeftArmFast,0.82,Rajiv Gandhi International Stadium (Hyderabad),Sunny,1,9.5,5,0,61,9.89,0.0,9.5,Pink Ball,138.7,Out-swinger,On the Off Stump,Good Length,Defensive,Weak,0,0,0.2831530083450001
Virat Kohli,Right,Anchor,0.92,Mitchell Starc,LeftArmFast,0.82,HPCA Stadium (Dharamshala),Overcast,2,2.1,1,158,107,6.19,8.86,2.1,Pink Ball,138.8,In-swinger,Outside Off,Good Length,Drive,Edge,1,0,0.9364115155578073
Rohit Sharma,Right,Aggressive,0.82,Yuzvendra Chahal,LegSpin,0.78,Arun Jaitley Stadium (Delhi),Night (Dew),2,11.6,6,106,48,6.9,13.25,11.6,SG Test,82.9,Googly,Outside Off,Good Length,Defensive,Weak,1,0,0.2974460436696325
Rohit Sharma,Right,Aggressive,0.82,Mitchell Starc,LeftArmFast,0.82,Narendra Modi Stadium (Ahmedabad),Sunny,2,4.4,2,116,92,9.09,7.57,4.4,Pink Ball,140.4,In-swinger,On the Off Stump,Good Length,Defensive,Weak,2,0,0.9409902875092623
Suryakumar Yadav,Right,Aggressive,0.94,Jasprit Bumrah,Fast,0.96,Rajiv Gandhi International Stadium (Hyderabad),Sunny,2,3.1,1,169,101,7.42,10.04,3.1,SG Test,149.9,Yorker,On the Off Stump,Yorker,Defensive,Weak,0,0,0.9047367581479456
Rohit Sharma,Right,Aggressive,0.82,Ravindra Jadeja,Ortho,0.86,Rajiv Gandhi International Stadium (Hyderabad),Humid,1,1.5,0,0,109,7.33,0.0,1.5,White Kookaburra,76.4,Cutter,On the Off Stump,Good Length,Drive,Missed,0,1,0.26700431417492515
Virat Kohli,Right,Anchor,0.92,Jasprit Bumrah,Fast,0.96,Wankhede Stadium (Mumbai),Overcast,1,10.2,5,0,58,7.84,0.0,10.2,White Kookaburra,143.0,Bouncer,Outside Off,Short,Glance,Weak,1,0,0.15
Suryakumar Yadav,Right,Aggressive,0.94,Ravindra Jadeja,Ortho,0.86,Rajiv Gandhi International Stadium (Hyderabad),Sunny,2,1.6,0,144,108,8.12,8.0,1.6,White Kookaburra,68.0,Cutter,On the Off Stump,Short,Lofted Shot,Weak,0,0,0.9668766282090923
